window_size;number_of_epochs;learning_rate
2;91;0.0651;0,845194469253444
2;91;0.0701;0,851468257620869
2;91;0.0751;0,853354058942793
2;91;0.0801;0,8515298194401
2;91;0.0901;0,842215503956
2;91;0.0951;0,851559224092864
2;91;0.1001;0,848379297269349
2;91;0.1051;0,835791687531792
2;91;0.1101;0,850694312528643
2;91;0.1151;0,852077102021072
2;96;0.0001;0,851373748858451
2;96;0.0051;0,849115286566508
2;96;0.0151;0,849674741736169
2;96;0.0201;0,836779851460286
2;96;0.0251;0,851744142069548
2;96;0.0301;0,847984612854523
2;96;0.0351;0,851093973103783
2;96;0.0401;0,849905561446104
2;96;0.0451;0,845794767607612
2;96;0.0501;0,852225814047147
2;96;0.0601;0,853917028240875
2;96;0.0651;0,849069885351757
2;96;0.0701;0,852272507868431
2;96;0.0751;0,850883871020912
2;96;0.0801;0,851464913266235
2;96;0.0851;0,844617338721682
2;96;0.0901;0,852296797109926
2;96;0.0951;0,828997475667484
2;96;0.1051;0,82710064602611
2;96;0.1101;0,817361190853287
2;96;0.1151;0,848787884863738
2;101;0.0001;0,850345435369437
2;101;0.0051;0,849650641951343
2;101;0.0101;0,848888091501665
2;101;0.0151;0,843434336232988
2;101;0.0201;0,847658595192249
2;101;0.0301;0,849237305626123
2;101;0.0351;0,850021231843819
2;101;0.0401;0,84787252093612
2;101;0.0451;0,845850860294178
2;101;0.0501;0,853068112901841
2;101;0.0551;0,847734576464767
2;101;0.0601;0,852530867473543
2;101;0.0651;0,808455966507128
2;101;0.0751;0,852560438073818
2;101;0.0801;0,851684180236769
2;101;0.0851;0,850441098408705
2;101;0.0901;0,852004535888734
2;101;0.0951;0,849673118266943
2;101;0.1001;0,849659627875033
2;101;0.1051;0,846889177531576
2;101;0.1101;0,850450823275084
2;106;0.0001;0,851390683744565
2;106;0.0051;0,849607992340178
2;106;0.0101;0,846185879975557
2;106;0.0151;0,845559610577446
2;106;0.0201;0,849876630863229
2;106;0.0251;0,845232668177925
2;106;0.0301;0,849234852980461
2;106;0.0351;0,849088805198803
2;106;0.0451;0,855325243169106
2;106;0.0501;0,848427985818648
2;106;0.0551;0,846919738711571
2;106;0.0601;0,851169804965331
2;106;0.0651;0,851094594381765
2;106;0.0701;0,8515112817721
2;106;0.0751;0,851518045828506
2;106;0.0801;0,839360695813968
2;106;0.0901;0,851176935981235
2;106;0.0951;0,851307863732394
2;106;0.1001;0,843738952326029
2;106;0.1051;0,848958591970342
2;106;0.1101;0,852077973172317
2;106;0.1151;0,827130786179385
2;111;0.0001;0,851376278807006
2;111;0.0051;0,849094933966344
2;111;0.0151;0,847342254731389
2;111;0.0201;0,850714341542964
2;111;0.0251;0,847702372459132
2;111;0.0301;0,84728432033082
2;111;0.0351;0,843600879766565
2;111;0.0401;0,847735597067415
2;111;0.0451;0,849939947495417
2;111;0.0501;0,848788353272131
2;111;0.0601;0,846320266299819
2;111;0.0651;0,852508928529489
2;111;0.0701;0,852811811546333
2;111;0.0751;0,852205743242099
2;111;0.0801;0,852478465355919
2;111;0.0851;0,852505882956001
2;111;0.0901;0,846429502828856
2;111;0.0951;0,8510462435644
2;111;0.1051;0,813868323254652
2;111;0.1101;0,851633025287445
2;111;0.1151;0,852539751307709
2;116;0.0001;0,851465701808372
2;116;0.0051;0,848022799638956
2;116;0.0101;0,84795673026638
2;116;0.0151;0,845948612140021
2;116;0.0201;0,846365734711593
2;116;0.0301;0,851276405122913
2;116;0.0351;0,852137809353224
2;116;0.0401;0,852640618683787
2;116;0.0451;0,851296467079406
2;116;0.0501;0,841374733472228
2;116;0.0551;0,846237020712627
2;116;0.0601;0,840082008328013
2;116;0.0651;0,851994036096765
2;116;0.0751;0,833192105582274
2;116;0.0801;0,845494495507391
2;116;0.0851;0,839872121196595
2;116;0.0901;0,847259172826276
2;116;0.0951;0,849129457009448
2;116;0.1001;0,848834384910786
2;116;0.1051;0,849277443756037
2;116;0.1101;0,848974687893969
2;121;0.0001;0,851393319850805
2;121;0.0051;0,851223040626845
2;121;0.0101;0,846297013855458
2;121;0.0151;0,84598070797349
2;121;0.0201;0,847486688236323
2;121;0.0251;0,85229029032565
2;121;0.0301;0,842104752132331
2;121;0.0351;0,845698214726297
2;121;0.0451;0,845124905599432
2;121;0.0501;0,841738277243658
2;121;0.0551;0,845121482669675
2;121;0.0601;0,850953958827907
2;121;0.0651;0,83114718713299
2;121;0.0701;0,850750444336211
2;121;0.0751;0,844683638513894
2;121;0.0801;0,841743093103766
2;121;0.0901;0,85257122178386
2;121;0.0951;0,847593969875852
2;121;0.1001;0,807525949357567
2;121;0.1051;0,836731349661785
2;121;0.1101;0,841274648291936
2;121;0.1151;0,837467635793618
2;126;0.0001;0,851603884844409
2;126;0.0051;0,849821006168077
2;126;0.0151;0,848979975880329
2;126;0.0201;0,847334096478066
2;126;0.0251;0,850080835538412
2;126;0.0301;0,850889772444449
2;126;0.0351;0,849240753399178
2;126;0.0401;0,856637075850286
2;126;0.0451;0,847093447798879
2;126;0.0501;0,844425699813114
2;126;0.0601;0,852462052731083
2;126;0.0651;0,851324763334977
2;126;0.0701;0,847930834333328
2;126;0.0751;0,848437986422197
2;126;0.0801;0,832077990606711
2;126;0.0851;0,84707862393619
2;126;0.0901;0,845411450530473
2;126;0.0951;0,851700186847234
2;126;0.1051;0,851986882868701
2;126;0.1101;0,807204040324806
2;126;0.1151;0,852495718801524
2;131;0.0001;0,851566619833658
2;131;0.0051;0,850636181258126
