<bid>;<ask>
0.5;0.499981
0.5;0.499993
0.5;0.499993
0.5;0.500024
0.342554;0.499987
0.5;0.499999
0.5;0.499987
0.657445;0.5
0.5;0.499993
0.5;0.499993
0.5;0.499993
0.5;0.499993
0.5;0.499993
0.5;0.500031
0.5;0.499993
0.5;0.499993
0.5;0.500024
0.5;0.499987
0.5;0.499993
0.5;0.499993
0.5;0.499993
0.5;0.500006
0.342554;0.5
0.5;0.499999
0.5;0.499999
0.5;0.499987
0.657308;0.5
0.5;0.499993
0.5;0.499993
0.5;0.499993
0.5;0.500006
0.5;0.499981
0.5;0.499993
0.5;0.499993
0.5;0.499987
0.5;0.500056
0.5;0.499981
0.5;0.500018
0.5;0.499981
0.5;0.500006
0.5;0.499981
0.5;0.500031
0.5;0.499981
0.5;0.500006
0.5;0.499987
0.5;0.500012
0.5;0.499993
0.5;0.499993
0.5;0.499993
0.5;0.499993
0.5;0.499993
