IME>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
13,09,2019 6:49:32;10509,56;11813,89817362;1897781,47595088;10524,99999966;262,87155085;3737854,6862622
13,09,2019 6:50:33;10515,64;11813,85165509;1897285,04804245;10524,99999987;263,09410062;3740208,7634299
13,09,2019 6:51:34;10516;11813,88265167;1897619,52413688;10524;263,35693177;3742987,2944255
13,09,2019 6:52:35;10516;11813,8601286;1897425,93568301;10524;262,90502661;3738224,60218859
13,09,2019 6:53:36;10515,5;11813,77011573;1896498,63130082;10523,5;263,19330219;3741414,71323925
13,09,2019 6:54:37;10517;11813,81635688;1896985,95226237;10525;263,19403263;3741422,7285906
13,09,2019 6:55:39;10517,26;11813,87801454;1897643,19970607;10525;262,41248675;3733188,00825375
13,09,2019 6:56:40;10517,26;11806,50590538;1820893,18393379;10525;263,00348308;3739416,7258874
13,09,2019 6:57:41;10517,33;11813,87129077;1897576,49875639;10525;262,47763652;3733821,93082735
13,09,2019 6:58:42;10517,26000001;11813,86151654;1897518,5449486;10525;263,05103285;3739863,70103388
13,09,2019 6:59:43;10517,26000001;11806,503376;1820866,67585168;10525;262,79128491;3737134,78977052
13,09,2019 7:00:45;10517,26000001;11813,883565;1897780,62802743;10525;263,47651704;3744384,72142437
13,09,2019 7:01:46;10518,36;11806,53040174;1821202,85331967;10525;263,45732145;3744189,34822362
13,09,2019 7:02:47;10506,04;11806,78429596;1823902,01117259;10517,36;263,47090786;3744430,38342529
13,09,2019 7:03:48;10517,76;11806,56235456;1821621,83977923;10525;263,43672167;3744200,892952
13,09,2019 7:04:49;10520,45;11814,14504304;1900644,34124494;10525;263,23801628;3742068,89437071
13,09,2019 7:05:50;10523;11806,53618431;1821425,18464584;10525;263,25111649;3742232,19693439
13,09,2019 7:06:51;10520,71;11806,54497236;1821517,8855252;10525;262,85642555;3738064,72077737
13,09,2019 7:07:52;10520,71;11806,56371221;1821713,63574527;10525;262,83729325;3737867,78371909
13,09,2019 7:08:53;10520,71;11806,49491659;1820994,40167373;10525;263,24141649;3742105,63874734
13,09,2019 7:09:54;10520,34;11806,5249875;1821305,88453258;10525;263,22264002;3741919,57088157
13,09,2019 7:10:55;10520,40100001;11806,78921475;1824094,04654505;10525;263,44568979;3744275,26805076
13,09,2019 7:11:57;10523,63;11806,52532834;1821323,47382166;10524,99999999;263,07921953;3740427,29151145
13,09,2019 7:12:58;10523,13;11806,49423644;1821026,37493032;10524,99999999;263,27796951;3742540,49194159
13,09,2019 7:13:59;10523,13;11813,47457061;1893737,6812717;10525;262,90062513;3738579,82744461
13,09,2019 7:15:00;10543,62;11813,74124156;1897265,01917362;10544,99999999;262,50716862;3734458,83565774
13,09,2019 7:16:01;10542,05;11806,44488663;1821173,68982318;10544,9494551;262,78705629;3737406,46830659
13,09,2019 7:17:02;10530,01100003;11813,70621003;1896945,24305684;10543,62999999;262,77701161;3737297,25327408
13,09,2019 7:18:03;10544,96;11813,75873372;1897561,79282054;10545;262,7820703;3737437,71763244
13,09,2019 7:19:04;10534,32000001;11813,7571656;1897543,14674636;10541,91;263,03388042;3740087,47196618
13,09,2019 7:20:05;10533,32100003;11813,72691376;1897183,34595803;10538,82;262,5613453;3735073,96475754
13,09,2019 7:21:07;10530;11813,602221;1895735,95982159;10534,26;263,16660876;3741446,88397024
13,09,2019 7:22:08;10530;11805,78957768;1814140,90313707;10533,99;263,16340876;3741393,76700621
13,09,2019 7:23:09;10530;11806,17259367;1818146,64272833;10533,99;262,73441802;3736853,68687364
13,09,2019 7:24:10;10530;11806,26169761;1819072,17106493;10530,91;262,57881263;3735213,23875284
13,09,2019 7:25:11;10530;11806,25166732;1818965,65198855;10530,91;262,96245919;3739259,87267325
13,09,2019 7:26:12;10522;11806,24617767;1818908,23960044;10530,90999999;262,79417981;3737484,72527473
13,09,2019 7:27:14;10522;11813,61730987;1895716,46379428;10537,31;262,73064403;3736813,52315454
13,09,2019 7:28:15;10522,00000001;11813,61895962;1895734,82418656;10536,81999996;262,73634406;3736870,46421687
13,09,2019 7:29:16;10527,68;11813,59186349;1895429,97308326;10536,624;263,07367984;3740421,19153915
13,09,2019 7:30:17;10530;11805,89409601;1815226,24764372;10542,37;263,2027352;3741781,65427432
13,09,2019 7:31:18;10530,00000001;11813,61251104;1895600,37526504;10540,24999999;263,25455373;3742303,14473914
13,09,2019 7:32:19;10530,00000001;11813,57681249;1895293,36152034;10540,4;262,78119857;3737288,29516175
13,09,2019 7:33:21;10530,00000002;11806,34479825;1819942,1701052;10538,88;262,72676299;3736709,56229401
13,09,2019 7:34:22;10522;11806,31696107;1819641,75928051;10530;263,13547534;3741006,26993358
13,09,2019 7:35:23;10522;11813,66311417;1896139,65822856;10529;262,97046995;3739018,42701935
13,09,2019 7:36:24;10524;11813,75070986;1897051,84219987;10529;262,42202043;3733230,0791788
13,09,2019 7:37:25;10527,4205274;11813,65884735;1896089,22746435;10529;262,76008465;3736798,50797397
13,09,2019 7:38:26;10522;11813,67900269;1895837,61340977;10525,4;262,9814702;3739082,607485
13,09,2019 7:39:28;10516,59;11813,9488296;1897014,69517976;10521,98999993;263,15601699;3740708,08037552
13,09,2019 7:40:29;10515,7;11806,61958341;1820660,2323952;10528,73;262,95792602;3738606,91645149
13,09,2019 7:41:30;10515,85;11813,91697798;1896614,9902792;10525,08999999;263,22582602;3741420,6330608
13,09,2019 7:42:31;10511,2;11813,91785405;1896676,8755827;10516,17;263,00144807;3738911,40606104
13,09,2019 7:43:32;10509,59001;11813,83386753;1895801,99979474;10509,78;263,57623764;3745161,98099187
13,09,2019 7:44:33;10500,6;11813,81860537;1895665,86719605;10506,09;263,53036458;3744687,36910925
13,09,2019 7:45:35;10500;11813,7953964;1895280,49389649;10506,92;263,5183109;3744565,22550912
13,09,2019 7:46:36;10492,14995965;11813,76326009;1894951,70198992;10503,2;263,36679526;3742971,9876067
13,09,2019 7:47:37;10492,14995966;11806,40117281;1818460,55399394;10497,57;263,08729916;3740029,84088532
13,09,2019 7:48:38;10498,37;11806,39772319;1818424,69485347;10510;263,51206038;3744500,67971946
13,09,2019 7:49:39;10498,37000001;11806,38253054;1818267,88069005;10510;263,16668881;3740799,4227085
13,09,2019 7:50:40;10498,37000001;11806,37712757;1818208,21148432;10510;263,36413877;3742879,07575843
13,09,2019 7:51:42;10498,37000001;11806,37806936;1818210,05570157;10508,99999999;263,11252328;3740220,14681779
13,09,2019 7:52:43;10498,37000001;11806,34087844;1817807,89057366;10509,99999997;263,26209165;3741716,87101982
13,09,2019 7:53:44;10500;11806,31831986;1817574,58427261;10509,99999999;263,18472692;3740633,25465233
13,09,2019 7:54:45;10500;11806,37435166;1818154,85039895;10509,99999999;263,21204643;3740899,78787548
13,09,2019 7:55:46;10502;11806,37635166;1818176,44120358;10509,99999995;263,3884962;3742755,90829501
13,09,2019 7:56:47;10502;11806,38516701;1818061,47529964;10509,99999997;263,25847456;3741374,14336038
13,09,2019 7:57:49;10500;11806,41375625;1818360,25883135;10507,33999999;262,83155069;3736882,34461035
13,09,2019 7:58:50;10500;11813,74129447;1894523,08001606;10500,21;262,99273607;3738578,86206216
13,09,2019 7:59:51;10492,14995964;11806,40664711;1818291,91260648;10499;263,13558118;3740078,53453301
