<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
0.43020522;0.66897963;0.75057941;0.34029851;0.92910983;0.92915591
0.61536255;0.28407286;0.32722519;0.43164179;0.48724914;0.49164712
0.61536255;0.81415558;0.91284711;0.43402985;0.68448448;0.6870286
0.61536255;0.6544444;0.73504549;0.63880597;0.91805413;0.92067023
0.61536255;0.78943243;0.88659256;0.53373134;0.80143456;0.80330995
0.77619238;0.27428164;0.31673142;0.63880597;0.68886406;0.69288198
0.77619238;0.18180254;0.21234082;0.55164179;0.67007953;0.67405457
0.77619238;0.79362683;0.89263055;0.54726368;0.85224057;0.88178075
0.71038695;0.44477689;0.51036255;0.59243781;0.49917533;0.53218137
0.79832472;0;0;0.61174129;0.9515469;0.98200301
0.82045706;0.09200693;0.10873163;0.6320398;0.88227486;0.91375192
0.81932786;0;0;0.63104478;0.61057293;0.64358237
0.5941652;0.34393973;0.39110295;0.53810945;0.43338138;0.46700545
0.59168095;0.27124186;0.30812493;0.48975124;1;1
0.60658641;0.62126376;0.70347864;0.4919403;0.53183241;0.54804779
0.59935952;0.63248072;0.71603644;0.48756219;0.496009;0.51287855
0.70618192;0.70381389;0.80686899;0.53930348;0.91520156;0.92437026
0.8550106;0.61200451;0.70229955;0.63880597;0.56869872;0.589711
0.90740553;0.6360936;0.72995455;0.63880597;0.57163654;0.59265222
0.95726602;0.61825331;0.71040767;0.69256482;0.66983051;0.68736185
0.99570904;0.62796348;0.72799137;0.75383085;0.10350941;0.15383625
1;0.52355742;0.60873794;0.74587065;0.52716473;0.56423298
0.66613641;0.31498931;0.37223755;0.64338308;0.98779682;1
0.69597771;0.29572484;0.3491631;0.56218905;0.69600029;0.7183465
0.6508792;0.34229997;0.40135791;0.52835821;0.98563688;0.99537498
0.61116559;0.31657273;0.37242984;0.46686567;0.82659747;0.8420775
0.61116559;0.68720538;0.78995961;0.45512438;0.94320965;0.95350825
0.69863883;0.68462172;0.77447997;0.48318408;0.65403704;0.64336425
0.61116559;0.68937788;0.77944686;0.41972927;0.67911382;0.66485533
0.61116559;0.70264004;0.79566162;0.41972927;0.20125518;0.20675606
0.61116559;0.71265644;0.80684256;0.41972927;0.20487059;0.21068003
0.61116559;0.70165244;0.7942383;0.41034826;0.93017349;0.90529862
0.61116559;0.69769318;0.78901848;0.41972927;0.44936644;0.44483437
0.61116559;0.33405215;0.37910272;0.41972927;0.80977164;0.78953505
0.61116559;0.34990962;0.3966204;0.41870647;0.45229158;0.44743759
0.61116559;0.33224134;0.37681152;0.41955805;0.93452468;0.90941531
0.49898024;0.33466831;0.37917279;0.41955805;0.93327947;0.90817665
0.49898024;0.68910806;0.77897378;0.39462687;0.93256375;0.90761206
0.49898024;0.69454354;0.78504352;0.39442786;0.92836052;0.90307963
0.56629145;0.69726019;0.78868788;0.40756219;0.93006861;0.90515082
0.56629145;0.34149009;0.3868793;0.40716418;0.92811007;0.90250166
0.56629145;0.73759008;0.83285475;0.38169154;0.95094947;0.92426483
0.56629145;0.78946222;0.89269023;0.41955805;0.95450549;0.92722466
0.56629145;0.78204536;0.8801458;0.38945274;0.96767036;0.93829102
0.56629145;0.79562343;0.89507577;0.38547264;0.50772114;0.49769072
0.56629145;0.45046836;0.50542743;0.37950249;0.60373281;0.58905225
0.56629145;0.33665198;0.37677986;0.39522388;0.20030134;0.20275347
0.19356296;0.36066107;0.40393598;0.24062498;0.52100708;0.51005215
0.14649388;0.35560081;0.39769593;0.23721393;0.97783295;0.94690223
0.30582399;0.73836942;0.82868764;0.13691542;1;1
0.32999741;0.74100078;0.83203293;0.19442786;0.8872851;0.88822756
0.32999741;0.72780198;0.81679351;0.17950249;0.37315387;0.379109
0.32069691;0.76158107;0.85633289;0.09091716;0.48562864;0.49060546
0.37557636;0.71308988;0.80161991;0.19246582;1;1
0.32999741;0.44506822;0.50001444;0.19246582;0.99130243;0.99124951
0.44468253;0.8067561;0.90739722;0.19621891;0.74878128;0.75067109
0.44468253;0.82102807;0.92368567;0.19621891;0.98936265;0.98906864
0.44468253;0.45844851;0.51492618;0.2116334;0.8854758;0.8863806
0.44468253;0.46135216;0.51812853;0.2489899;0.90838864;0.90924682
0.44468253;0.70851165;0.7956336;0.26029567;0.9850198;0.98488509
0.44468253;0.72998995;0.81963971;0.26927138;0.73702227;0.73341187
0.44468253;0.87569444;0.9855186;0.31920288;0.79304565;0.78898701
0.3836537;0.39089481;0.43756033;0.69712864;0.8071618;0.80319145
0.57257383;0.34978727;0.39463588;0.66842661;0.79428271;0.78981762
0.63337828;0.40516942;0.45800799;0.67039735;0.40683384;0.40674647
0.68206672;0.5261368;0.59350004;0.76399155;0.37722864;0.37815378
0.65918091;0.67628451;0.76101892;0.71647307;0.66073727;0.65782216
0.55260483;1;1;0.63278775;0.67965399;0.67587117
0.51737863;1;1;0.58553326;0.55296448;0.55014822
0.36368471;0.92164044;0.88970431;0.33896515;0.65324321;0.64633598
0.40384706;0.96878877;0.95574942;0.33896515;0.75701245;0.74890622
0.1626167;1;1;0.13203305;0.80233795;0.79369923
0.1626167;0.72089969;0.6129103;0.18747122;0.69240676;0.68510483
0.38701926;1;1;0.45142555;0.45233756;0.45045774
0.38701926;0.64488365;0.51302222;0.45142555;0.30371355;0.30343944
0.38701926;0.69395391;0.58094644;0.45142555;0.77653293;0.77095651
0.38679489;0.91560374;0.88388102;0.18769799;0.56892554;0.56555693
0.56472085;0.95724652;0.93943757;0.45137275;0.88635229;0.87832538
0.0567456;0.93922185;0.91489921;0.14598733;0.79549313;0.78877651
0.1626167;0.97069371;0.78600115;0;0.21073286;0.20937991
0.0831894;0.62990549;0.32003642;0.2283342;0.40487585;0.39926376
0.0831894;0.70567857;0.42465838;0.28515828;0.69892192;0.69015561
0.0253337;0.61033675;0.29327746;0.28515828;0.67769014;0.66887813
0.0253337;0.70092476;0.41780386;0.22729632;0.40369218;0.398135
0;0.75969936;0.50052941;0;0.43997729;0.43394167
0.00679584;0.63111021;0.32271741;0;0.6940585;0.6865912
0.07924601;0.94792977;0.32959812;0.39385585;0.78073387;0.77232814
0.11387878;0.95641846;0.34701712;0.39385585;0.54442896;0.52527005
0.05811943;1;0.74757486;0.3751477;0.44400307;0.42585787
0.05811946;0.76427368;0.34395247;0.09846396;0.81500423;0.79191859
0.05811942;0.80359273;0.3983266;0.09846396;0.80535761;0.77936924
0;0.98481714;0.70791153;0.21662072;0.77411138;0.74960618
0;0.97699187;0.69468963;0.22686097;0.79115842;0.7664709
0;1;0.73923304;0.13033874;0.41104802;0.39089604
0;0.96319798;0.67575036;0.03958251;0.65588052;0.33364572
0;0.78040009;0.36321559;0.00964944;0.72816314;0.38886018
0;0.68178586;0.19314028;0.11396808;0.39756692;0.06246997
0;0.74579748;0.30401886;0.07030327;0.1394573;0
0.00000002;0.78350135;0.36879672;0.07030324;0.79070145;0.53866283
0.00000004;0.73588701;0.29253135;0.07030322;0.39790211;0.21375766
0.00754051;0.75813651;0.33114052;0.14080347;0.70059243;0.46386239
0;0.94176115;0.64402907;0;0.58703267;0.36986579
0;0.58210317;0.02235094;0;0.67693853;0.41660384
0.09626183;0.68227085;0.19508402;0;0.78738809;0.50825139
0.09626183;0.95737997;0.66785396;0.01621622;0.22571632;0.10097408
0.11230531;0.97039163;0.68918912;0.02398649;0.76676936;0.51167861
0.11230531;0.7370807;0.28789179;0.17027027;0.63386492;0.40168522
0.11968554;0.79468715;0.38658422;0.14222973;0.16047335;0.04637307
0.11519333;0.7485947;0.30750378;0.14222973;0.81543483;0.53986495
0.11230531;0.79086541;0.38018167;0.10118243;0.85499586;0.5698404
0.09626183;0.72859165;0.26790627;0.02997456;1;0.69483261
0.06978983;0.86700989;0.50477889;0.06621622;0.78588705;0.5296839
0.05133964;0.92955625;0.61216527;0.05439189;1;0.70246905
0;0.97668227;0.69472849;0;0.33552535;0.18115287
0;0.98585201;0.71226076;0;0.30369186;0.17557776
0.00000001;0.78319454;0.36198577;0.13904548;0.41955487;0.26666002
0;0.78886872;0.37147499;0.11325698;0.82551287;0.58517843
0.01828975;0.77367401;0.34451559;0.12361066;0.19731739;0.09202653
0.05117921;0.75871886;0.31911951;0.12361066;0.73951836;0.51588405
