<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
05/10/13;12346,0000000;12351,0000000;12344,0000000;12350,0000000;3010,3600000;3010,3600000;3010,3600000;3010,3600000;6,5346000;6,5346000;6,5346000;6,5346000;19,0585000;28,0323000;18,9176000;27,9473000;21,1080000;21,1080000;21,1020000;21,1060000;211,0100000;211,4600000;210,2700000;210,2700000;0,0176800;0,0177900;0,0173200;0,0174200;6,7821000;6,8341000;6,7774000;6,7943000;302,2200000;305,0300000;301,9200000;304,8300000;1,5221500;1,5321500;1,5029200;1,5169000;8,6469000;8,7426000;8,6302000;8,6909000;54,5297000;57,7049000;54,5269000;57,2658000;1,4914000;1,5053000;1,4882000;1,4952000;0,7155000;0,7226500;0,7145000;0,7152400;1,0417700;1,0437700;1,0380000;1,0417800;1,1200000;1,1205900;1,1192000;1,1192000;9,3264600;9,3379000;9,3230000;9,3362300;1,4081100;1,4260300;1,4015000;1,4240200;8,4391500;8,4480500;8,3797000;8,3893000;1,3472500;1,3605800;1,3420000;1,3574600;134,3640000;135,5030000;134,1500000;135,2490000
07/10/13;12363,0000000;12419,0000000;12358,0000000;12412,0000000;2983,3600000;2984,7900000;2983,3600000;2984,7000000;6,5338000;6,5348000;6,5336000;6,5348000;27,9598000;27,9598000;21,8302000;21,8416000;21,1010000;21,1170000;20,9340000;20,9530000;210,2900000;211,3900000;209,1300000;210,7900000;0,0174400;0,0174400;0,0174400;0,0174400;6,7963000;6,7963000;6,6956000;6,6990000;304,7300000;307,5700000;304,1200000;306,7200000;1,5167200;1,5264600;1,4991900;1,5212500;8,6911000;8,8232000;8,6830000;8,8002000;57,4750000;57,5419000;56,0130000;56,0130000;1,4957000;1,5069000;1,4900000;1,5037000;0,7154200;0,7230000;0,7121000;0,7209100;1,0416100;1,0440200;1,0396100;1,0408300;1,1196000;1,1202300;1,1191000;1,1194000;9,3343000;9,3526500;9,3273000;9,3441000;1,4231100;1,4351500;1,4155000;1,4247400;8,3913500;8,4144300;8,3334000;8,3802100;1,3574900;1,3692200;1,3546000;1,3670500;135,2900000;136,4210000;135,0940000;135,9430000
08/10/13;12412,0000000;12452,0000000;12397,0000000;12421,0000000;2984,7000000;2984,7000000;2984,7000000;2984,7000000;6,5348000;6,5348000;6,5292000;6,5305000;30,2122000;30,2310000;29,7520000;29,7865000;20,9880000;21,1310000;20,9450000;21,1010000;210,8100000;210,8900000;210,7300000;210,8900000;0,0174900;0,0175100;0,0174900;0,0175100;6,6869000;6,7150000;6,5834000;6,6030000;306,5000000;307,9800000;304,4100000;307,4000000;1,5215100;1,5341400;1,5187000;1,5309500;8,8001000;8,8705000;8,7887000;8,8426000;57,0460000;57,1390000;55,2010000;55,5871000;1,5036000;1,5081000;1,4970000;1,5058000;0,7209300;0,7244300;0,7202000;0,7232200;1,0408000;1,0430700;1,0380000;1,0406800;1,1197200;1,1206500;1,1128000;1,1153900;9,2827800;9,3388000;9,2785000;9,3007000;1,4246800;1,4297100;1,4109000;1,4123400;8,3843800;8,4345000;8,3686000;8,4039000;1,3670000;1,3778800;1,3620000;1,3749700;135,9260000;136,8150000;135,6700000;136,4460000
09/10/13;12419,0000000;12444,0000000;12333,0000000;12362,0000000;3017,1500000;3018,6300000;3017,1500000;3017,5200000;6,5305000;6,5305000;6,5234000;6,5273000;29,7776000;29,7782000;29,7323000;29,7323000;21,1110000;21,1120000;20,9590000;21,0840000;211,1400000;211,4100000;211,1400000;211,2300000;0,0181700;0,0181700;0,0172800;0,0173500;6,6006000;6,6883000;6,5733000;6,6437000;307,5000000;308,2600000;305,3300000;306,1800000;1,5309800;1,5316700;1,5298000;1,5298000;8,8433000;8,8864000;8,7747000;8,8708000;55,6110000;57,6160000;55,6110000;57,1240000;1,5066000;1,5130000;1,5010000;1,5107000;0,7231800;0,7282700;0,7203000;0,7276500;1,0404700;1,0506300;1,0397700;1,0483400;1,1155100;1,1278800;1,1131000;1,1212000;9,3023000;9,3218000;9,2067000;9,2435600;1,4122100;1,4130800;1,4081700;1,4130800;8,4073400;8,4135000;8,3415000;8,3643000;1,3750200;1,3754000;1,3724000;1,3724000;136,5400000;136,6700000;136,5400000;136,5500000
10/10/13;12359,0000000;12405,0000000;12335,0000000;12387,0000000;3017,5200000;3017,5200000;3017,5200000;3017,5200000;6,5273000;6,5273000;6,5194000;6,5205000;29,8244000;29,8244000;29,8155000;29,8219000;21,0760000;21,1210000;21,0010000;21,0020000;211,0700000;211,1200000;209,3100000;209,7700000;0,0173500;0,0178000;0,0173300;0,0178000;6,6581000;6,6581000;6,5478000;6,5641000;306,1400000;307,3500000;304,8500000;305,9700000;1,5358000;1,5394100;1,5321000;1,5355500;8,8752000;8,8752000;8,8665000;8,8688000;57,0690000;57,1530000;56,2982000;56,6950000;1,5117000;1,5120000;1,5090000;1,5102000;0,7280000;0,7283000;0,7272000;0,7280000;1,0485800;1,0486000;1,0476900;1,0476900;1,1212700;1,1382700;1,1201000;1,1353300;9,2418600;9,2479600;9,2418600;9,2475000;1,4078400;1,4124100;1,4077000;1,4110000;8,3677600;8,3677600;8,3631500;8,3631500;1,3730900;1,3739500;1,3713600;1,3739200;136,5700000;136,5700000;136,3260000;136,5050000
11/10/13;12385,0000000;12422,0000000;12379,0000000;12397,0000000;2981,2900000;2981,2900000;2979,1900000;2979,1900000;6,5205000;6,5205000;6,5039000;6,5053000;29,8139000;30,1467000;29,7604000;29,9346000;21,0030000;21,6900000;20,8870000;21,6280000;209,7700000;210,1800000;209,3000000;210,0000000;0,0174800;0,0180200;0,0173400;0,0178200;6,5684000;6,5727000;6,5608000;6,5727000;306,0500000;309,2200000;305,7400000;309,2200000;1,5358800;1,5406000;1,5286000;1,5307500;8,8707000;8,8717000;8,8550000;8,8662000;56,7140000;56,7140000;56,6890000;56,6890000;1,5118000;1,5118000;1,5074000;1,5097000;0,7273000;0,7273000;0,7265000;0,7271400;1,0480800;1,0481900;1,0467900;1,0480900;1,1352600;1,1444700;1,1338000;1,1409900;9,2450000;9,2466000;9,2141000;9,2222000;1,4116300;1,4159900;1,4071000;1,4135800;8,3576000;8,3662200;8,3563000;8,3589100;1,3741000;1,3805000;1,3688000;1,3755200;136,5700000;136,9610000;135,5500000;135,7360000
12/10/13;12399,0000000;12399,0000000;12388,0000000;12394,0000000;2979,1900000;2979,1900000;2979,1900000;2979,1900000;6,5053000;6,5053000;6,5053000;6,5053000;29,9836000;30,1883000;29,9223000;30,1459000;21,6260000;21,6380000;21,6220000;21,6380000;209,9800000;210,4100000;209,8700000;210,3200000;0,0179300;0,0179300;0,0173000;0,0174500;6,5556000;6,5556000;6,5444000;6,5493000;306,5000000;306,5000000;305,8100000;306,1900000;1,5310400;1,5367100;1,5040000;1,5170500;8,8731000;8,8746000;8,7565000;8,7680000;56,6050000;56,7300000;56,4580000;56,5726000;1,5121000;1,5132000;1,4998000;1,5027000;0,7274000;0,7283600;0,7215800;0,7226000;1,0482300;1,0501900;1,0448400;1,0476900;1,1409300;1,1466700;1,1321000;1,1448000;9,2269000;9,2723700;9,2100000;9,2550000;1,4136400;1,4171100;1,4022100;1,4056100;8,3652000;8,3908600;8,3464000;8,3779000;1,3755500;1,3767100;1,3570000;1,3635300;135,7500000;135,8330000;133,9200000;134,5540000
14/10/13;12409,0000000;12435,0000000;12397,0000000;12399,0000000;3021,6700000;3022,8100000;3021,3900000;3021,4800000;6,4714000;6,4720000;6,4706000;6,4715000;30,1602000;30,7046000;30,0289000;30,7027000;21,6640000;21,6920000;21,6640000;21,6730000;210,3700000;210,5400000;207,0600000;207,2500000;0,0174700;0,0177000;0,0174500;0,0175800;6,5619000;6,6461000;6,5133000;6,6149000;306,3300000;309,4700000;305,5500000;308,6500000;1,5176700;1,5223100;1,5060000;1,5176500;8,7701000;8,7788000;8,6180000;8,6418000;56,5790000;56,7030000;55,4240000;55,5780000;1,5029000;1,5039000;1,4830000;1,4891000;0,7226500;0,7232300;0,7148800;0,7182600;1,0478600;1,0489000;1,0400000;1,0445200;1,1448400;1,1451000;1,1442000;1,1442000;9,2476000;9,3456600;9,2149000;9,3394000;1,4055100;1,4127600;1,3936000;1,3994500;8,3781000;8,4103700;8,3209000;8,3955600;1,3637100;1,3640700;1,3519900;1,3540200;134,5410000;134,8580000;133,9020000;134,6140000
15/10/13;12400,0000000;12400,0000000;12331,0000000;12382,0000000;3021,4800000;3021,4800000;3021,4800000;3021,4800000;6,4715000;6,4866000;6,4715000;6,4842000;30,6904000;30,7561000;30,5823000;30,5827000;21,6560000;21,6620000;20,9100000;20,9530000;207,2700000;207,6700000;206,8700000;207,1600000;0,0175800;0,0175900;0,0175800;0,0175900;6,6170000;6,6586000;6,6006000;6,6166000;308,6500000;308,9200000;304,1800000;305,6800000;1,5177600;1,5289700;1,5110200;1,5122900;8,6431000;8,6454000;8,5753000;8,5974000;55,6110000;55,9433000;54,7010000;55,1183000;1,4893000;1,4895000;1,4800000;1,4824000;0,7188000;0,7190700;0,7124000;0,7141000;1,0443500;1,0450100;1,0381800;1,0396200;1,1450000;1,1450000;1,1430000;1,1445600;9,3423000;9,3564600;9,2955000;9,3502000;1,3992900;1,4142400;1,3907000;1,4115900;8,3944600;8,4246600;8,3599400;8,3918000;1,3541400;1,3631500;1,3510000;1,3555600;134,5570000;135,3490000;134,2000000;134,4600000
16/10/13;12379,0000000;12429,0000000;12359,0000000;12406,0000000;3046,0700000;3046,2200000;3044,7400000;3045,3700000;6,4842000;6,4905000;6,4842000;6,4898000;30,5847000;31,9646000;30,4165000;31,8739000;20,9530000;20,9700000;20,8820000;20,9510000;207,1800000;207,1800000;207,1800000;207,1800000;0,0175800;0,0176600;0,0175700;0,0176500;6,6182000;6,8579000;6,5760000;6,7999000;305,7300000;307,2700000;305,1400000;306,5600000;1,5113000;1,5208200;1,5021400;1,5031000;8,5995000;8,6685000;8,5876000;8,6140000;55,4430000;55,7620000;54,8225000;55,2699000;1,4828000;1,4929000;1,4808000;1,4846000;0,7135300;0,7167200;0,7089000;0,7092800;1,0395700;1,0417800;1,0380000;1,0408700;1,1447500;1,1449300;1,1297000;1,1314000;9,3510000;9,4087300;9,3356000;9,3955000;1,4118000;1,4256900;1,4087200;1,4239100;8,3991300;8,4448300;8,3826000;8,3986000;1,3554300;1,3669200;1,3509000;1,3517800;134,4770000;135,3400000;133,6800000;133,7590000
17/10/13;12404,0000000;12532,0000000;12396,0000000;12528,0000000;3045,3700000;3045,3700000;3045,3700000;3045,3700000;6,4898000;6,4958000;6,4898000;6,4949000;31,8765000;31,8884000;31,8641000;31,8884000;20,9500000;20,9580000;20,9130000;20,9500000;206,9700000;206,9800000;206,8900000;206,9100000;0,0176700;0,0179900;0,0176100;0,0179400;6,7732000;6,7937000;6,5785000;6,6024000;306,6800000;307,7800000;305,7000000;307,7300000;1,5072900;1,5072900;1,5031000;1,5031000;8,6151000;8,6872000;8,5257000;8,5322000;55,3270000;55,7770000;55,0200000;55,4540000;1,4847000;1,4897000;1,4691000;1,4706000;0,7092100;0,7162800;0,7088300;0,7106200;1,0408700;1,0451000;1,0380000;1,0387200;1,1312300;1,1326400;1,1117000;1,1148300;9,3922700;9,4380100;9,3639000;9,3759000;1,4244500;1,4244500;1,4209700;1,4220400;8,4011300;8,4278500;8,3820000;8,4192000;1,3517900;1,3518400;1,3496300;1,3496500;133,8300000;133,8500000;133,7700000;133,7700000
18/10/13;12529,0000000;12536,0000000;12513,0000000;12518,0000000;3067,9800000;3068,0600000;3067,4000000;3068,0600000;6,4949000;6,5258000;6,4949000;6,5251000;31,9259000;31,9672000;31,9259000;31,9401000;20,9550000;20,9720000;20,6270000;20,6460000;207,0200000;207,8900000;206,5400000;207,0700000;0,0179300;0,0181300;0,0178500;0,0180700;6,6033000;6,7419000;6,5959000;6,7151000;307,5000000;308,4100000;306,2200000;306,7600000;1,5055300;1,5060200;1,4980000;1,5036200;8,5348000;8,5363000;8,5294000;8,5311000;55,4580000;55,9850000;54,8180000;55,0690000;1,4709000;1,4712000;1,4683000;1,4693000;0,7108000;0,7110600;0,7104000;0,7105000;1,0386200;1,0391000;1,0378800;1,0378800;1,1149400;1,1153000;1,1060000;1,1091700;9,3750000;9,3764000;9,3661000;9,3750000;1,4245600;1,4251600;1,4199400;1,4224000;8,4172400;8,4213000;8,4165000;8,4190000;1,3511800;1,3518000;1,3493200;1,3511300;133,6440000;133,7760000;133,5690000;133,6610000
19/10/13;12520,0000000;12524,0000000;12518,0000000;12522,0000000;3068,0600000;3068,0600000;3068,0600000;3068,0600000;6,5251000;6,5251000;6,5251000;6,5251000;31,9154000;31,9232000;31,4226000;31,4746000;20,6480000;20,6910000;20,6120000;20,6400000;207,0200000;207,4300000;206,5300000;206,6500000;0,0179800;0,0181600;0,0178800;0,0180200;6,7085000;6,7085000;6,7085000;6,7085000;306,7400000;307,1500000;306,5000000;306,7700000;1,5038300;1,5063600;1,4980000;1,5013800;8,5268000;8,5320000;8,5238000;8,5269000;55,0080000;55,1560000;55,0080000;55,1220000;1,4680000;1,4719000;1,4673000;1,4685000;0,7108000;0,7112000;0,7105000;0,7110000;1,0389300;1,0389300;1,0373500;1,0377900;1,1091900;1,1181400;1,1077000;1,1111200;9,3710000;9,3725000;9,3710000;9,3725000;1,4229000;1,4277700;1,4146900;1,4146900;8,4035800;8,4170200;8,4025000;8,4025000;1,3514300;1,3526900;1,3469000;1,3513100;133,6700000;133,8310000;133,2100000;133,4130000
20/10/13;12520,0000000;12521,0000000;12520,0000000;12521,0000000;3082,3200000;3083,4200000;3082,2200000;3082,9900000;6,5406000;6,5407000;6,5395000;6,5397000;31,4753000;37,6313000;31,4574000;37,5989000;20,6430000;20,6430000;20,6430000;20,6430000;206,6700000;206,8500000;204,8100000;204,9700000;0,0180200;0,0180600;0,0178700;0,0179800;6,7243000;6,8094000;6,6906000;6,8006000;306,7600000;307,2400000;306,7600000;307,1400000;1,5013200;1,5080000;1,4920000;1,5032200;8,5280000;8,5373000;8,4926000;8,5082000;55,0540000;55,0540000;54,9026000;54,9136000;1,4702000;1,4761000;1,4650000;1,4724000;0,7108000;0,7115000;0,7071000;0,7093000;1,0376900;1,0384600;1,0337000;1,0372000;1,1111600;1,1208400;1,0999000;1,1007000;9,3766000;9,3950000;9,3088000;9,3216000;1,4146300;1,4205000;1,3984000;1,4084400;8,4050000;8,4208000;8,3666000;8,3863700;1,3512600;1,3568800;1,3420000;1,3515300;133,4470000;134,5170000;133,0700000;133,7990000
