window_size;number_of_epochs;learning_rate;Q
5;1;0.0451;0.842380537776448
5;1;0.0501;0.826525118306837
5;1;0.0551;0.721253664194156
5;6;0.0001;0.628023555643281
5;6;0.0051;0.851684884396042
5;6;0.0151;0.845869454763612
5;6;0.0201;0.854309759836518
5;6;0.0251;0.845393814398204
5;6;0.0301;0.849717911101618
5;6;0.0351;0.855161403837895
5;6;0.0401;0.856303095215338
5;6;0.0451;0.851798541276286
5;6;0.0501;0.851796123175785
5;11;0.0001;0.844544702863855
5;11;0.0051;0.850962449558218
5;11;0.0101;0.850837021282965
5;11;0.0151;0.859870611136897
5;11;0.0201;0.865013138886796
5;11;0.0251;0.858465267085059
5;11;0.0301;0.841462232473408
5;11;0.0351;0.857213033640911
5;11;0.0451;0.849208512423161
5;11;0.0501;0.849458703406403
5;11;0.0551;0.848796857070337
5;16;0.0001;0.846990422294338
5;16;0.0051;0.849880264141273
5;16;0.0101;0.86617213827626
5;16;0.0151;0.852396978103795
5;16;0.0201;0.865798392940084
5;16;0.0301;0.850635004429577
5;16;0.0351;0.851479630249204
5;16;0.0401;0.859836938278171
5;16;0.0451;0.851668237627279
5;16;0.0501;0.8492566651901
5;16;0.0551;0.84555854924622
5;21;0.0001;0.847463532245566
5;21;0.0051;0.861160435596193
5;21;0.0151;0.851197876959387
5;21;0.0201;0.863945676090331
5;21;0.0251;0.8658202363809
5;21;0.0301;0.84605451656542
5;21;0.0351;0.849271102105781
5;21;0.0401;0.851701283562114
5;21;0.0451;0.831778872464836
5;21;0.0501;0.844248081190094
5;26;0.0001;0.847649274429504
5;26;0.0051;0.856174215777156
5;26;0.0101;0.86570485680435
5;26;0.0151;0.863284687833554
5;26;0.0201;0.856827804570613
5;26;0.0251;0.86259769793456
5;26;0.0301;0.865120967836847
5;26;0.0351;0.851108441378809
5;26;0.0451;0.849281649286454
5;26;0.0501;0.838662626951124
5;26;0.0551;0.846623541987839
5;31;0.0001;0.850582396409186
5;31;0.0051;0.864657270160115
5;31;0.0101;0.860604294037325
5;31;0.0151;0.852564610898973
5;31;0.0201;0.861171930944039
5;31;0.0301;0.851608097531271
5;31;0.0351;0.855942894778397
5;31;0.0401;0.838295800702765
5;31;0.0451;0.837371560096016
5;31;0.0501;0.850945109521599
5;31;0.0551;0.843397555386171
5;36;0.0001;0.849829443719163
5;36;0.0051;0.864938574510652
5;36;0.0151;0.850974310592845
