<DATEandTIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
0.5;0.550999;0.529199;0.503;0.494
0.5;0.449000;0.487400;0.496000;0.504999
0.5;0.504999;0.491800;0.502000;0.494
0.5;0.494;0.499599;0.503999;0.511000
0.5;0.511000;0.513000;0.508000;0.500999
0.5;0.542000;0.5092;0.494999;0.533000
0.5;0.491999;0.492999;0.497999;0.497999
0.5;0.497999;0.5;0.497;0.502000
0.5;0.490100;0.502000;0.508000;0.502000
0.5;0.5139;0.499000;0.497999;0.497
0.5;0.528999;0.528999;0.507000;0.501999
0.5;0.431000;0.471000;0.492999;0.497
0.5;0.534999;0.500999;0.502000;0.501000
0.5;0.503;0.499000;0.497;0.500999
0.5;0.500999;0.506999;0.517200;0.509
0.5;0.508000;0.509;0.477799;0.493000
0.5;0.493000;0.485999;0.502000;0.5
0.5;0.500999;0.5;0.523600;0.501999
0.5;0.500999;0.501000;0.479399;0.497
0.5;0.497;0.5;0.499000;0.504000
0.5;0.528000;0.524000;0.504999;0.504999
0.5;0.479999;0.480999;0.5;0.498000
0.5;0.499000;0.501000;0.527900;0.4831
0.5;0.503;0.5;0.469099;0.469899
0.5;0.497;0.497999;0.514700;0.547000
0.5;0.5;0.518999;0.485299;0.5
0.5;0.5;0.483000;0.503;0.501999
0.5;0.501999;0.498999;0.497;0.497
0.5;0.497;0.501000;0.502000;0.503
0.5;0.504000;0.501999;0.530099;0.5
0.5;0.498999;0.506;0.4679;0.497
0.5;0.496000;0.487000;0.490000;0.441000
0.5;0.491999;0.494;0.488;0.488
0.5;0.489000;0.487000;0.527200;0.548999
0.5;0.497999;0.498999;0.469799;0.5
0.5;0.539000;0.538000;0.503;0.5
0.5;0.460999;0.460999;0.497999;0.497
0.5;0.497999;0.497999;0.497;0.497999
0.5;0.497;0.497;0.497;0.497000
0.5;0.475800;0.497000;0.493000;0.494999
0.5;0.526199;0.504999;0.5;0.503
0.5;0.493000;0.497999;0.509;0.504999
0.5;0.504999;0.512;0.512;0.509
0.5;0.509;0.497;0.496000;0.497
0.5;0.497;0.502000;0.5;0.504000
0.5;0.504000;0.509;0.501999;0.489999
0.5;0.491;0.488999;0.495000;0.507000
0.5;0.506;0.532000;0.509999;0.533999
0.5;0.533000;0.5;0.518000;0.497999
0.5;0.498999;0.497999;0.497999;0.499000
0.5;0.499000;0.506;0.499000;0.497
0.5;0.497;0.495000;0.505000;0.503999
0.5;0.503;0.500999;0.503;0.499000
0.5;0.5;0.502000;0.494999;0.505000
0.5;0.505000;0.503;0.509999;0.500999
0.5;0.504999;0.503;0.501000;0.502000
0.5;0.498000;0.497999;0.497999;0.497
0.5;0.497;0.499000;0.496000;0.500999
0.5;0.500999;0.501999;0.497;0.503
0.5;0.502000;0.504000;0.504999;0.503999
0.5;0.523999;0.517999;0.502000;0.496000
0.5;0.477000;0.479000;0.497;0.500999
0.5;0.500999;0.504999;0.503;0.504000
0.5;0.504000;0.5;0.503999;0.498999
0.5;0.498999;0.498000;0.5;0.5
0.5;0.503;0.503;0.5;0.5
0.5;0.497;0.500999;0.503;0.504000
0.5;0.504000;0.502000;0.506;0.503
0.5;0.503;0.501999;0.497;0.501999
0.5;0.501999;0.508000;0.512;0.506999
0.5;0.509;0.510999;0.512999;0.512
0.5;0.509999;0.5;0.496000;0.495000
0.5;0.495000;0.5;0.502000;0.503999
0.5;0.503;0.499000;0.548899;0.5
0.5;0.501999;0.509;0.460100;0.505000
0.5;0.507000;0.499000;0.491999;0.494999
0.5;0.491999;0.492999;0.5456;0.499000
0.5;0.499000;0.502000;0.4574;0.503
0.5;0.503;0.503999;0.500999;0.503
0.5;0.503;0.5;0.497;0.491999
0.5;0.492999;0.492000;0.492000;0.5
0.5;0.499000;0.5;0.501999;0.502000
0.5;0.502000;0.5;0.495000;0.494999
0.5;0.494999;0.495999;0.497999;0.496000
0.5;0.496000;0.5;0.494;0.503
0.5;0.503;0.499000;0.499000;0.494
0.5;0.494;0.494;0.494;0.497
0.5;0.497;0.5;0.503;0.503
0.5;0.503;0.502000;0.546799;0.503
0.5;0.503;0.5;0.499400;0.497
0.5;0.498999;0.498999;0.450800;0.497
0.5;0.495000;0.496000;0.494999;0.496000
0.5;0.496000;0.497999;0.497;0.498999
0.5;0.498999;0.5;0.502000;0.502000
0.5;0.502000;0.5;0.502000;0.5
0.5;0.5;0.502000;0.500999;0.5
0.5;0.499000;0.496000;0.497999;0.499000
0.5;0.5;0.499000;0.5;0.497
0.5;0.497;0.497999;0.497;0.498999
0.5;0.498999;0.497999;0.546399;0.5
0.5;0.503;0.503;0.501100;0.499000
0.5;0.497;0.498000;0.499500;0.499000
0.5;0.498000;0.5;0.499399;0.503
0.5;0.503;0.5;0.499400;0.498999
0.5;0.498999;0.504999;0.4572;0.506
0.5;0.505000;0.5;0.498000;0.494
0.5;0.496000;0.497;0.503;0.499000
0.5;0.497999;0.497;0.494999;0.499000
0.5;0.499000;0.503;0.505000;0.503
0.5;0.503;0.499000;0.497999;0.497
0.5;0.484999;0.497;0.497;0.500999
0.5;0.512999;0.500999;0.503;0.497
0.5;0.497;0.497;0.497;0.5
0.5;0.5;0.5;0.546300;0.499000
0.5;0.499000;0.498000;0.4467;0.494
0.5;0.494;0.503;0.544999;0.5
0.5;0.5;0.491999;0.500600;0.498999
0.5;0.497999;0.497;0.5;0.499000
0.5;0.5;0.502000;0.5;0.500999
0.5;0.500999;0.498999;0.449399;0.496000
0.5;0.496000;0.498000;0.497999;0.499000
