<bid_top>;<c>;<c2>;p
0.7750476;0.40187398;0.4876141;0.01497805
0.78986406;0.4187948;0.47043905;0.00357004
0.7899081;0.4095477;0.5030579;0.02547146
0.79002565;0.39243782;0.46906912;0.06208271
0.7934341;0.4124103;0.47729275;0.05867426
0.81537956;0.4614406;0.4672798;0.0367288
0.85210836;0.3651253;0.51176316;0
0.85210836;0.40002686;0.49539462;0
0.85210836;0.42985213;0.46756804;0.0661155
0.85210836;0.43122357;0.46575332;3.674E-05
0.85210836;0.4040941;0.47279242;0.00023874
0.91822386;0.4156066;0.5007684;-0.0367325
0.8521451;0.41931117;0.44563845;0.0109819
0.8523471;0.41527337;0.46476287;0.0254718
0.88149136;0.40819958;0.49665108;0.0036729
0.863127;0.3464816;0.52469236;0.0367288
0.8778189;0.37566012;0.5132448;0.02571015
0.88516426;0.44245434;0.46563813;-0.00734576
0.8998558;0.3332832;0.5161767;-0.01469154
0.90352905;0.39668855;0.52819103;0.00640145
0.8778185;0.49611887;0.55303186;0.0293831
0.88516426;0.43026677;0.51580536;0.02203734
0.9099305;0.42765707;0.5500737;0.0813433
0.9072016;0.40691155;0.5461043;0.0840722
0.9072016;0.40721524;0.54298985;-0.01466
0.9912738;0.38025644;0.44762784;-0.11860637
0.9912738;0.3722025;0.50607336;-0.018695
0.8925416;0.4136628;0.4651278;0.06057094
0.87266743;0.4049833;0.49825782;0.00194917
0.9725788;0.38258708;0.53086954;-0.09698246
0.95311254;0.4026545;0.5650605;-0.0775162
0.8746166;0.46490303;0.5033823;0.001045
0.87559634;0.44667873;0.65776384;0.0059281
0.87559634;0.50296813;0.561297;0.01030246
0.8756616;0.39595145;0.45234454;0.0073329
0.88152444;0.43924677;0.4848534;0.00363982
0.8858988;0.32720932;0.56205124;-0.0029043
0.8829945;0.40214047;0.51371235;-0.07209447
0.88516426;0.3741042;0.4781291;-0.02938306
0.8829945;0.38186592;0.45410115;-0.0050879
0.81090003;0.39192012;0.4281187;0.10243487
0.8557812;0.43897706;0.51156527;0.05769694
0.8779066;0.34424317;0.5036974;0.00369867
0.9133349;0.35571426;0.5591732;-0.03184354
0.91347814;0.37102747;0.5009687;-0.03198678
0.88160527;0;0.41406354;-0.06069467
0.88149136;0.09507397;0.43809283;-0.06037146
0.88149136;0.24699739;0.515848;-0.04028046
0.8209106;0.3324849;0.37359864;0.02048394
0.8211199;0.3501891;0.39246878;0.02045465
0.8412109;0.17624897;0.3743109;0.0005546
0.84139454;0.21927714;0.38148126;-0.02968788
0.84157455;0.52381545;0.51238763;-0.02967691
0.8417655;0.111011624;0.4130958;-0.0296732
0.81170666;0.28210458;0.44213486;0.00059134
0.81189764;0.2774586;0.42986724;0.00060969
0.8120923;0.23740622;0.42433518;0.00063545
0.812298;0.5159114;0.5013063;0.0006465
0.81250733;0.36700755;0.4597393;0.00064647
0.81272775;0.35282373;0.47249645;0.00064275
0.8129445;0.02288559;0.41665578;0.0006207
0.8131538;0.50332415;0.5613328;0.0006097
0.8133705;0.08409119;0.37962604;0.00057664
0.8135652;0.22068393;0.41923577;0.0004114
0.8137635;0.1924656;0.24396962;0.0002131
0.81394714;0.22951463;0.3897214;2.946E-05
0.8139766;0.28118604;0.43496612;0
0.8139766;0.24836585;0.4930738;0
0.8139766;0.24896029;0.43723425;0
0.8139766;0.25821435;0.45282137;-0.00226994
0.8139766;0.27474463;0.36500177;-0.00226994
0.8139766;0.20840546;0.39250758;-0.0021855
0.81170666;0.28796887;0.4082022;0.00027914
0.81170666;0.30795547;0.4256042;0.0004701
0.8117911;0.24679103;0.47571728;0.00058033
